SA_CodeSANDRE;SA_CodeCAS;SA_Libelle;SA_Statut;SA_Usage_principal;SA_NQECMA;SA_NQEMA;SA_PNEC;SA_DT50;SA_Koc;SA_Gus;SA_Classification;SA_Biocide;SA_RgSiris2018;SA_Solubilite_mgl;SA_HydrolysePH7;SA_DU2015;SA_DU2017;UsageAgricole;Source;MaJ
1256;139-40-2;Propazine;non autorisé;Herbicides;;;;;;;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1257;60207-90-1;Propiconazole;;Fongicides;;;1.6;108;1086;1.960566538;N Organique;;32;150;stable;0.136828;0.122970121;Fongicide céréales;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1258;13457-18-6;Pyrazophos;non autorisé;Fongicides;;;;;;1.892996931;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1259;55512-33-9;Pyridate;;Herbicides;;;2.8;16;90;2.463337474;N Organique;;54;1.49;inst;0.83013;0.899637613;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1260;23505-41-1;Pyrimiphos-éthyl;;Insecticides;;;;;;;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1261;29232-93-7;Pyrimiphos-méthyl;;Insecticides;;;0.0021;;;1.525206171;N Organique;;36;10;TS;0.032;0.03182895;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1262;26259-45-0;Secbuméton;non autorisé;Herbicides;;;;;;;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1263;122-34-9;Simazine;non autorisé;Herbicides;4;1;1;;;3.685812076;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1264;93-76-5;2,4,5-T;non autorisé;Herbicides;;;5;;;2.894178773;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1265;297-78-9;Isobenzan;;Insecticides;;;;;;;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1266;33693-04-8;Terbuméton;non autorisé;Herbicides;;;;;;3.790436408;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1267;13071-79-9;Terbuphos;non autorisé;Insecticides;;;;;;1.404047172;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1268;5915-41-3;Terbuthylazine;non autorisé;Herbicides;;;0.06;;;2.756149669;;;;;;;;interdit en France 2003  ?? Autorisation sur mais depuis 2018;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1269;886-50-0;Terbutryne;non autorisé;Herbicides;;;0.065;;;1.199434865;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1276;56-23-5;Tétrachlorure de carbone;;Insecticides;;12;;;;;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1277;22248-79-9;Tétrachlorvinphos;non autorisé;Insecticides;;;;;;;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1279;8001-35-2;Toxaphène;;Insecticides;;;;;;;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1280;55219-65-3;Triadiménol;;Fongicides;;;10;65;273;2.835101625;Autre;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1281;2303-17-5;Triallate;;Herbicides;;;0.91;;;1.098370797;N Organique;;50;4;stable;1.44;1.44;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1287;52-68-6;Trichlorfon;non autorisé;Insecticides;;;0.0006;;;3.765817515;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1288;55335-06-3;Triclopyr;;Herbicides;;;700;46;48;3.855534292;Autre;;13;8100;stable;0.477183;0.48;débroussaillant traitements généraux;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1289;1582-09-8;Trifluraline;non autorisé;Herbicides;;0.03;0.03;;;0.127688917;N Organique;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1290;2275-23-2;Vamidothion;non autorisé;Insecticides;;;;;;;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
1291;50471-44-8;Vinclozoline;non autorisé;Fongicides;;;;;;1.981310927;;;;;;;;;Traitement OEB -  Sources : Sandre, AELB, Draaf, Dreal;01/09/2020
